uniqueID,drugName,condition,review,rating,date,usefulCount
189138,Oxycodone,Chronic Pain,"""I&#039;ve been taking oxycodone for roughly 5 years....I&#039;ve gone a few weekends without it before because I&#039;ve ran out but never experienced any withdrawal symptoms.  It works great if you take it exactly when you need to and don&#039;t exceed your prescribed amount or take it early.  I&#039;ve been living with chronic pain for years...have had a complete joint replacement on one side and and anchor placed on the other side of my jaw. The surgeries help immensely but I&#039;ll still always be in pain.  Been taking the same dosage of 10mg 3x a day for the 5 years and yes my body is used to the effects so it doesn&#039;t work as well but it works well enough and I refuse to take a higher dosage or more pills per day because...well let&#039;s face it..this medicine is scarey""",8,18-Dec-16,24
91973,Lyrica,Neuropathic Pain,"""I was diagnosed with adult onset Diabetes last Dec. I started on
Metformin 750 and almost immediately my fasting glucose dropped
to 94. That is what it has been since but I have been bothered with
neuropathy for  months. I tried Lyrica for 3 months and it did
absolutely nothing for the pain. I am presently taking gabapentin
300 mg at bedtime and it helps slightly. The cost for the Lyrica
was money out the window.""",1,18-Jul-15,13
80410,Aleve,Back Pain,"""I love Aleve! It makes all my lower back pain disappear, I feel like a new person.""",10,12-Aug-10,41
171980,Meloxicam,Osteoarthritis,"""I have been using Mobic to relieve the pain from my Spinal Fusion I had in March/2001. I was previously on Bextra that was discontinued. I find this medication to work just as good as Bextra did.""",10,25-Sep-09,26
40937,Acetaminophen / oxycodone,Chronic Pain,"""This med helps to take the edge off enough for the pain to be tolerable. I take HCL 15 mg one every 6 hours. Compared to hydrocodone this is much better and faster relief. Just be careful what you take with it.""",6,10-Nov-17,0
113576,Acetaminophen / butalbital / caffeine,Headache,"""I have been suffering from terrible allergies due to hay fever.  The allergies caused horrible headaches.  Doctor gave me a prescription for butalbital (Fioricet). It helped so much. I was taking Excedrin migraine however it was keeping me up at night. Everyone who suffers must try it. It is inexpensive compared to most migraine medications.""",9,19-Sep-11,0
169883,Aspirin / butalbital / caffeine,Migraine,"""This drug is phenomenal for migraines as long as you catch it early.""",10,27-Apr-09,21
177575,Duloxetine,Chronic Pain,"""Have had pain all my life, some is from fibromyalgia. Cymbalta worked well for pain such as the electrical zapping sensations. However, it is much too expensive and was not very effective for anxiety or depression.""",7,18-Oct-15,29
163340,Acetaminophen / dichloralphenazone / isometheptene mucate,Headache,"""Midrin, Epidrin, isometheptene-dichloralphenazone-acetaminophen, Isometh/Dich/Apap 65-100-325, whatever variation of name it is dispensed as, it is the best migraine treatment for me. It must be administered early into the headache or it is much less effective. That&#039;s the only downside, and one I&#039;ve managed to deal with successfully over many years now.  I take 2 capsules at onset and one more tablet each hour after as needed (usually total of three capsules is enough!) Only side affect is it makes me sleepy. I went through two years trying out various Rx&#039;s, shots, treatments with my doctor, but once we tried Midrin I got my life back.The difficulty getting it lately has me jumping through hoops and the price skyrocketed, but it&#039;s worth it.""",10,10-Mar-17,2
50284,Gabapentin,Migraine,"""Great medicine--I tried tons of other treatments and was down to my last option, I was at 300 MG and it started to work with few side effects besides increased appetite and a little more tired at first-a lifesaver!""",9,17-May-14,71
164602,Diclofenac,Back Pain,"""Amazing topical relief. I 100% recommend it.""",10,6-Sep-09,22
57782,Acetaminophen / hydrocodone,Back Pain,"""Given for back pain due to ruptured disc it works fairly well. Thanks""",10,27-Oct-13,38
189251,Oxycodone,Chronic Pain,"""Use for Chronic pain. This is 4 Spinal Surgeries History. Have: Spinal Stenosis, DDD, Bone Chips &amp; lots of Scar tissue.""",7,6-Jul-14,65
69191,Celebrex,Osteoarthritis,"""After breaking both ankles in 1987, I was diagnosed with arthritis in 1997, I put up with mild pain and joint stiffness for years until I started my new job in 2011 at age 45, (7-8 hours a day non stop on my feet) after each shift I would be in so much excruciating pain I wondered if the job was worth it. Went to see my doctor who prescribed 100mg Celebrex twice a day, first few days I noticed a small improvement but also had a bit of stomach discomfort. After a few weeks it was like I had new ankles! Little to no pain, so I went down to 100mg a day on days I don&#039;t work and 200mg a day when I work. Only other side effect I have had is significant hair loss/ thinning for a couple weeks every 6 months, it grows back though.""",9,6-Dec-14,48
164574,Diclofenac,Back Pain,"""Because of an auto accident a year ago I had a partial separation of my right sacroiliac joint. I&#039;ve taken Advil, Celebrex, and Mobic along with steroid injections and received little or no pain relief. Zipsor is the only medication I&#039;ve taken that has reduced the inflammation long enough for the joint to begin to heal thus giving my pain relief.""",10,31-May-11,41
205138,Acetaminophen / aspirin / caffeine,Migraine,"""I have had migraines for almost 40 years. I have the type where I lose my central vision and have a halo effect for appx 45 minutes, then horrible pain sets in, and throw up for several hours. This will last for appx 8 hours, then the pain eases off and lingers for almost two days. I usually ended up at the hospital where I have had Demerol, Imitrex, etc, which did not work.  One day I lost my vision, and tried Excedrin Migraine. This stopped the migraine cold. Never before had any medication even slightly reduced my pain and nausea. This was 14 years ago. I take two as soon as I start to lose my vision, wait until the halo effect subsides, then I can go about my day. Excedrin Migraine returned my life to me.""",10,30-Sep-12,46
205248,Acetaminophen / aspirin / caffeine,Migraine,"""My Migraine headache starts with what they call Aura, which is blind spots in eyesight (eyesight will be blurry when this happens) and followed by the worst headache ever. From my experience, the Excedrin Migraine doesn&#039;t work when you take it after the headache starts. But when you take it in early stage (which is for me, immediately after experiencing Aura), its very effective. Don&#039;t expect you will be relieved from pain 100 percent, but at least it helps relieving 70 percent of pain.
I would highly recommend to take it in very early stage when the migraine starts.""",8,28-Dec-15,12
47970,Naproxen / sumatriptan,Migraine,"""This medication really works for me, I wouldn&#039;t know what I would do without it. However, it does upset my stomach a bit.""",9,26-Oct-09,4
87728,Naproxen,Rheumatoid Arthritis,"""I have been using Aleve for about 6 months.  This medicine helps relieve all my aches and pains.  I&#039;m 68 and working in food industry.  Although I experience severe body and joint pains on a daily basis I take one Aleve on the days I work and can put in 4 to 6 hours pain free.  I have not suffered any side effects so far.  So far none of the other medicines I have tried have been as effective as Aleve.""",10,29-Aug-09,105
164612,Diclofenac,Rheumatoid Arthritis,"""I have been on diclofenac 75mg twice a day for 5 years.  The first year I took it 2 X each day.  After the methotrexate began to kick in, I now only take it when needed when I get a flare up.  At the most, only about once per week, sometimes less.  It has made a big difference in helping me manage the pain of rheumatoid arthritis.""",10,18-Jul-09,23
126545,Acetaminophen,Sciatica,"""Tylenol is the only thing that helps my pain right now. Cannot function otherwise. Cannot sleep either. Even prescribed pain meds did not work as well.""",10,24-Mar-17,5
57827,Acetaminophen / hydrocodone,Rheumatoid Arthritis,"""No stomach upset or drowsiness...FINALLY""",10,8-Aug-12,83
205225,Acetaminophen / aspirin / caffeine,Migraine,"""Awesome stuff. I&#039;m a nursing assistant in a nursing home and ended up getting a migraine in the middle of my shift. Nothing usually helps my migraines, let alone gets ride of them completely. But my migraine was 100% gone within ten minutes of taking Excedrin Extra Strength. It was amazing! Never gonna need anything else for my migraines.""",10,4-Sep-16,1
113754,Acetaminophen / butalbital / caffeine,Headache,"""I have taken Fioricet for 20 plus years. This is the only medication that takes care of your pain.  I am 63 years old and I take approx 8 tablets daily.  My liver function tests always come back normal.  Does anyone else have a situation like mine?""",10,24-Mar-13,23
87610,Naproxen,Sciatica,"""Unbelievable!  After suffering everyday with sciatica nerve pain, losing sleep, falling into depression, I tried one pill, Aleve. Nothing else I tried worked.  Aleve did exactly what my body needed to get relief from pain and inflammation.  I didn&#039;t want a narcotic, no. I will continue to take Aleve for a week to be sure that all traces of sciatica and inflammation are completely gone.""",10,30-May-14,124
112125,Gabapentin,Neuropathic Pain,"""Because of the opiate crisis, my doctor didn&#039;t feel comfortable giving me an opiate for pain in my back and shoulder from a nasty fall. But, she gave me this medication and the pain went away and I actually felt happy. A little dizzy but nothing too bad. I recommend this medication.""",10,2-May-17,12
182897,Cymbalta,Chronic Pain,"""The relief of pain was almost immediate. I have fibromyalgia and osteoarthritis as well. The meds localize the pain to a tolerable condition.
I take the pill first thing in the mornings and it leaves me light-headed and fatigued until late afternoon.
I wonder if these symptoms go away after a few months? Will my body get used to it?""",7,27-Mar-16,52
171887,Meloxicam,Rheumatoid Arthritis,"""I have been on Mobic (or some generic form) for 3 years now for PsA - Psoriatic Arthritis.
During this time, I got quite ill and my GP sent me for a test. I had an MRI and wore a heart monitor for 24 hours. They thought I was having seizures. After 2 years of feeling dreadful only at night my GP took me off the Mobic to settle a stomach upset and I realized that I no longer had any of the neurological effects anymore. Upon mentioning this to my Specialist - he said that the neurological side effects were quite common with Mobic - yet neither of the GP&#039;s saw new of them. So just be aware, this can make you feel like you are running slow, your brain may slow down and you might fall over.""",8,14-Apr-11,83
41029,Acetaminophen / oxycodone,Chronic Pain,"""I have chronic rib pain from nerve damage, without this I would not be able to work.  It has literally saved my life""",10,29-Jul-15,48
91953,Lyrica,Neuropathic Pain,"""I started takining this medication about a week ago, AMAZING! My Dr prescribed for the pain shooting down arm and hand from cervical and thoracic issues. I was writhing in pain at night so much so I could barely walk. After just 1 dose total difference, I take just 75mg before bed, I do notice a feeling of doppiness upon waking but it is usually gone a couple hours later, unless I take Tylenol Motrin . One of the side effects I have had is the swollen eyes and crusted eyes. I am very tired and need a nap, I Find the pill seems to work for about 20hrs for nerve pain and the it starts screaming back.""",9,15-Oct-14,84
69182,Celebrex,Osteoarthritis,"""A very good medicine that works for my knee pain, sometimes I do have to top it up with Tylenol Arthritis. All in all I recommend it for osteoarthritis.""",9,28-Jul-11,39
180490,Diclofenac,Osteoarthritis,"""Have been using Pennsaid for over eight years but strictly on an as needed basis (2-3) times a week. Very effective for knees and hips (almost instant relief). Only side effect is an occasional oral off taste.""",10,1-Aug-15,34
189359,Oxycodone,Chronic Pain,"""I&#039;ve delt with chronic pain the last 11 years, since I was 23. And as anyone with chronic pain knows, it&#039;s never going to completely go away.  We just want a break, some type of relief from the constant agony.

In the wiiiide variety of opiod pain meds, roxicodone has brought me the most consistent pain relief paired with my muscle relaxer (Baclofen). I swear I&#039;ve tried just about everything,  trying to find that &quot;happy medium&quot; I personally try to find the least amount of medication I need to be on to function. These seem to do that for me, aside from fentanyl patches and then a med for break thru. 

Everyone is a bit different though, and our tolerance for medications and how our body metabolizes it varies as well.  But for me, it works!!""",9,29-Jun-15,58
189366,Oxycodone,Chronic Pain,"""Some uncomfortable side effects like constipation. Other than that, the drug does an ok job with my Rheumatoid Arthritis pain.""",6,9-May-15,39
112162,Gabapentin,Migraine,"""Worked for migrane
I had been prescribed lots of different drugs I have had Botox, had my ear pierced I have been to the chiropractor, eye doctor two different neurologist I had been having migraines almost everyday finally with this medication I haven&#039;t had a migraine in a week""",8,20-Feb-17,31
220921,Diclofenac / misoprostol,Sciatica,"""Arthrotec75 was prescribed after I developed serious aching in my right thigh that prevented me from standing or walking for more than a few minutes. Eventually, a herniated disc at L-4-L5 was diagnosed. A large fragment was pressing up against a nerve. After a few more weeks, the onset of motor deficit in my foot led to the need to have surgery. If that hadn&#039;t happened, I might have been able to avoid the surgery indefinitely by continuing to take Arthrotec. Other NSAIDs might have worked too, but protection of the stomach lining by Arthrotec&#039;s misoprostol was appealing.""",9,26-Oct-10,61
72437,Tramadol,Back Pain,"""I stared using this a week ago.  I have gone from chronic high pain to a level of 1 to 2.  I can function like a person again.  While this is only until we address the actual problem causing the back pain, this has made me look forward to having days with very little pain.  The difference is like night and day.  I still have the pain if I stand for too long, or if I do too much physical activity, but I can now sit for extended period of time pain free.  I have a slight upward tic, nervousness, and at times dizzy.  I take this with food.  For me it is a relief to be so pain free after dealing with the problem for over 18 years without any real relief.""",9,19-Jun-12,44
87511,Naproxen,Headache,"""For the very first time EVER  a medication worked for my migraine. My carrier would not cover the originally prescribed medication, so dr ordered naproxen and sumatriptan. I took it , not expecting much but I was wrong. My migraine felt like day 3 of a migraine. I could not believe it. I have had migraines for over 30 yrs and nothing has ever ever made any difference. I carry them both with me everywhere!""",9,9-Jan-16,20
205226,Acetaminophen / aspirin / caffeine,Migraine,"""I don&#039;t normally get headaches in general but when I do, they&#039;re horrible. I took an Excedrin after I developed I really bad headache upon getting off work for the day. My headache was gone in about 30 minutes tops. However, the side effects of this pill outweighed how fast it fixed my headache. I took the pill in the car on the way home and by the time I reached my home in 15 minutes I began feeling woozy. I started to feel light headed and felt this weird feeling in my stomach. I assumed it was because I was hungry but after forcing myself to eat food it only made things worse. I felt so bad that I just laid down early for the night so that when I woke up the feeling would most likely be gone. Nope! I woke up &amp; vomitted shortly.""",3,18-Aug-16,1
189174,Oxycodone,Chronic Pain,"""Very helpful for headaches which I suffer from daily.""",8,12-Feb-17,8
164395,Diclofenac,Migraine,"""Really did the trick for my migraine with no side effects.  Tastes terrible but I&#039;ll take that over a migraine any day!""",10,9-Jul-16,15
87744,Naproxen,Headache,"""Only thing that works for me.""",10,6-Jun-09,26
164355,Diclofenac,Back Pain,"""Have used off and on for three years for severe back pain/spasms as well as tendinitis of the elbow.  Diclofenac (75mg) is moderately effective at best, at least for me.  It&#039;s about the same as a single Ibuprofen (Advil) which is to say not useful for serious pain.  Everyone&#039;s different I guess.  Unfortunately my doctor refuses to prescribe anything else.""",5,18-Apr-16,12
164622,Diclofenac,Back Pain,"""Have Full Meals with this medicine to keep your stomach safe.""",9,5-Mar-10,18
180314,Diclofenac,Osteoarthritis,"""I had a bad reaction to this medicine; trouble breathing, tight throat, cold hands and feet, increased pulse, strong headache, then fatigue. It was very frightening, but did go away after several hours.""",1,8-Mar-16,41
